"region";"nivå";"kjønn";"år";"statistikkvariabel";"09429: Personer 16 år og over, etter region, nivå, kjønn, år og statistikkvariabel"
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";11566
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";5715
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";5667
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";5693
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";5644
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2020";"Personer 16 år og over";5827
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2021";"Personer 16 år og over";5802
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2022";"Personer 16 år og over";5827
"3002 Moss (2020-2023)";"01 Grunnskolenivå";"1 Menn";"2023";"Personer 16 år og over";5922
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";15380
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";15443
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";15560
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";15660
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2020";"Personer 16 år og over";7276
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2021";"Personer 16 år og over";7278
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2022";"Personer 16 år og over";7309
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"2 Kvinner";"2023";"Personer 16 år og over";7336
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2020";"Personer 16 år og over";8104
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2021";"Personer 16 år og over";8165
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2022";"Personer 16 år og over";8251
"3002 Moss (2020-2023)";"02a Videregående skolenivå";"1 Menn";"2023";"Personer 16 år og over";8324
"3002 Moss (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2020";"Personer 16 år og over";1164
"3002 Moss (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2021";"Personer 16 år og over";1208
"3002 Moss (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2022";"Personer 16 år og over";1250
"3002 Moss (2020-2023)";"11 Fagskolenivå";"0 Begge kjønn";"2023";"Personer 16 år og over";1344
"3002 Moss (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2020";"Personer 16 år og over";547
"3002 Moss (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2021";"Personer 16 år og over";582
"3002 Moss (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2022";"Personer 16 år og over";601
"3002 Moss (2020-2023)";"11 Fagskolenivå";"2 Kvinner";"2023";"Personer 16 år og over";643
"3002 Moss (2020-2023)";"11 Fagskolenivå";"1 Menn";"2020";"Personer 16 år og over";617
"3002 Moss (2020-2023)";"11 Fagskolenivå";"1 Menn";"2021";"Personer 16 år og over";626
"3002 Moss (2020-2023)";"11 Fagskolenivå";"1 Menn";"2022";"Personer 16 år og over";649
"3002 Moss (2020-2023)";"11 Fagskolenivå";"1 Menn";"2023";"Personer 16 år og over";701
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2020";"Personer 16 år og over";9325
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2021";"Personer 16 år og over";9584
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2022";"Personer 16 år og over";9919
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"0 Begge kjønn";"2023";"Personer 16 år og over";10261
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2020";"Personer 16 år og over";5475
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2021";"Personer 16 år og over";5647
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2022";"Personer 16 år og over";5850
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"2 Kvinner";"2023";"Personer 16 år og over";6037
"3002 Moss (2020-2023)";"03a Universitets- og høgskolenivå, kort";"1 Menn";"2020";"Personer 16 år og over";3850
