Dato;Nedbør m.m.pr døgn
22.03.2016;0
23.03.2016;0
24.03.2016;0
25.03.2016;0
26.03.2016;0,3
27.03.2016;2,8
28.03.2016;6,1
29.03.2016;7,4
30.03.2016;3,2
31.03.2016;0
01.04.2016;0
02.04.2016;2,9
03.04.2016;3,2
04.04.2016;1,8
05.04.2016;7,5
06.04.2016;0,5
07.04.2016;0,7
08.04.2016;2,6
09.04.2016;3,1
10.04.2016;0
11.04.2016;0
12.04.2016;0
13.04.2016;0
14.04.2016;0
15.04.2016;0,3
16.04.2016;0
17.04.2016;5,5
18.04.2016;0,3
19.04.2016;0,7
20.04.2016;0
21.04.2016;0
22.04.2016;0
23.04.2016;0
24.04.2016;0
25.04.2016;0
26.04.2016;0
27.04.2016;0
28.04.2016;0
29.04.2016;11,1
30.04.2016;10
01.05.2016;24,6
02.05.2016;0
03.05.2016;1,8
04.05.2016;1,3
05.05.2016;0
06.05.2016;0
07.05.2016;0
08.05.2016;0
09.05.2016;0
10.05.2016;0
11.05.2016;0
12.05.2016;0
13.05.2016;0
14.05.2016;0
15.05.2016;0
16.05.2016;0
17.05.2016;0
18.05.2016;0
19.05.2016;0
20.05.2016;0,5
21.05.2016;1,4
22.05.2016;1,7
23.05.2016;7,2
24.05.2016;20,8
25.05.2016;0,2
26.05.2016;0
27.05.2016;0
28.05.2016;0
29.05.2016;2
30.05.2016;4,1
31.05.2016;2,3
01.06.2016;0
02.06.2016;0
03.06.2016;0
04.06.2016;0
05.06.2016;0
06.06.2016;0
07.06.2016;0
08.06.2016;0
09.06.2016;0
10.06.2016;0,1
11.06.2016;0
12.06.2016;0
13.06.2016;0
14.06.2016;0
15.06.2016;0
16.06.2016;16,2
17.06.2016;0
18.06.2016;0,8
19.06.2016;7,7
20.06.2016;0,1
21.06.2016;20,8
22.06.2016;0
23.06.2016;0
24.06.2016;0,3
25.06.2016;0
26.06.2016;0,8
27.06.2016;5,5
28.06.2016;5,8
29.06.2016;0
30.06.2016;0,5
01.07.2016;6,2
02.07.2016;5,5
03.07.2016;10,5
04.07.2016;0,4
05.07.2016;0
06.07.2016;0
07.07.2016;0,3
08.07.2016;0
09.07.2016;0
10.07.2016;0
11.07.2016;0
12.07.2016;4,5
13.07.2016;1,6
14.07.2016;15,9
15.07.2016;2,4
16.07.2016;0,1
17.07.2016;0
18.07.2016;0
19.07.2016;0
20.07.2016;0,1
21.07.2016;0
22.07.2016;1,7
23.07.2016;0
24.07.2016;0
25.07.2016;0
26.07.2016;7,5
27.07.2016;12,4
28.07.2016;8,6
29.07.2016;0
30.07.2016;9,3
31.07.2016;10,4
01.08.2016;0
02.08.2016;1,1
03.08.2016;0
04.08.2016;16,3
05.08.2016;1,9
06.08.2016;3,2
07.08.2016;28,8
08.08.2016;2,7
09.08.2016;10,7
10.08.2016;16,5
11.08.2016;0,2
12.08.2016;0
13.08.2016;4,4
14.08.2016;0
15.08.2016;0
16.08.2016;0
17.08.2016;0
18.08.2016;0
19.08.2016;0
20.08.2016;0,1
21.08.2016;10,5
22.08.2016;0,1
23.08.2016;1,3
24.08.2016;0
25.08.2016;0
26.08.2016;12,7
27.08.2016;0,1
28.08.2016;0
29.08.2016;0,3
30.08.2016;0,5
31.08.2016;0
01.09.2016;0
02.09.2016;0
03.09.2016;0
04.09.2016;0
05.09.2016;0
06.09.2016;0
07.09.2016;0
08.09.2016;0
09.09.2016;0
10.09.2016;0
11.09.2016;5,1
12.09.2016;0
13.09.2016;0
14.09.2016;0
15.09.2016;0,1
16.09.2016;0
17.09.2016;0,2
18.09.2016;0
19.09.2016;0
20.09.2016;0
21.09.2016;0
22.09.2016;1,6
23.09.2016;0,5
24.09.2016;6,2
25.09.2016;0
26.09.2016;0
27.09.2016;0,6
28.09.2016;4,8
29.09.2016;6,5
30.09.2016;0
01.10.2016;0
02.10.2016;0
03.10.2016;0
04.10.2016;0
05.10.2016;0
06.10.2016;0
07.10.2016;0
08.10.2016;0
09.10.2016;0
10.10.2016;0
11.10.2016;0
12.10.2016;0
13.10.2016;0
14.10.2016;0
15.10.2016;0
16.10.2016;0
17.10.2016;2,5
18.10.2016;0,5
19.10.2016;0,6
20.10.2016;0,2
21.10.2016;2,2
22.10.2016;0
23.10.2016;0,6
24.10.2016;0,1
25.10.2016;6
26.10.2016;0
27.10.2016;0,5
28.10.2016;0
29.10.2016;0
30.10.2016;0
31.10.2016;0
01.11.2016;8,3
02.11.2016;0,1
03.11.2016;0
04.11.2016;0
05.11.2016;2,2
06.11.2016;1,1
07.11.2016;0
08.11.2016;0
09.11.2016;0
10.11.2016;0
11.11.2016;0
12.11.2016;0
13.11.2016;0,1
14.11.2016;0
15.11.2016;8,3
16.11.2016;0,2
17.11.2016;6,2
18.11.2016;3,2
19.11.2016;2,8
20.11.2016;6,5
21.11.2016;3,5
22.11.2016;1,5
23.11.2016;4,1
24.11.2016;0
25.11.2016;1,2
26.11.2016;0
27.11.2016;0
28.11.2016;0
29.11.2016;0
30.11.2016;0
01.12.2016;0,1
02.12.2016;0
03.12.2016;0
04.12.2016;0
05.12.2016;0
06.12.2016;0
07.12.2016;0
08.12.2016;10,5
09.12.2016;0
10.12.2016;0,7
11.12.2016;3,4
12.12.2016;0
13.12.2016;0,1
14.12.2016;0
15.12.2016;0
16.12.2016;0
17.12.2016;0
18.12.2016;0
19.12.2016;0
20.12.2016;0
21.12.2016;0
22.12.2016;0,1
23.12.2016;0
24.12.2016;4,6
25.12.2016;0
26.12.2016;0
27.12.2016;0
28.12.2016;0
29.12.2016;0
30.12.2016;0
31.12.2016;0
01.01.2017;0
02.01.2017;0
03.01.2017;0
04.01.2017;0
05.01.2017;0
06.01.2017;0
07.01.2017;1
08.01.2017;0
09.01.2017;0
10.01.2017;4,6
11.01.2017;8,2
12.01.2017;15,4
13.01.2017;0
14.01.2017;0
15.01.2017;0
16.01.2017;0
17.01.2017;0
18.01.2017;0,7
19.01.2017;0
20.01.2017;0
21.01.2017;0
22.01.2017;0
23.01.2017;0
24.01.2017;0
25.01.2017;0
26.01.2017;0
27.01.2017;0
28.01.2017;0
29.01.2017;0
30.01.2017;0,5
31.01.2017;0
01.02.2017;0
02.02.2017;0,5
03.02.2017;1,4
04.02.2017;0,2
05.02.2017;0,8
06.02.2017;0,5
07.02.2017;0
08.02.2017;0
09.02.2017;0
10.02.2017;0
11.02.2017;0
12.02.2017;0
13.02.2017;0
14.02.2017;0
15.02.2017;0
16.02.2017;0
17.02.2017;0
18.02.2017;0
19.02.2017;0,6
20.02.2017;0
21.02.2017;0
22.02.2017;7,9
23.02.2017;1,4
24.02.2017;0
25.02.2017;0
26.02.2017;5,1
27.02.2017;3,6
28.02.2017;17,8
01.03.2017;11,2
02.03.2017;0
03.03.2017;0,4
04.03.2017;1
05.03.2017;0,5
06.03.2017;0
07.03.2017;0
08.03.2017;0
09.03.2017;2,8
10.03.2017;1,1
11.03.2017;0
12.03.2017;0,6
13.03.2017;0,1
14.03.2017;1,5
15.03.2017;1,7
16.03.2017;0
17.03.2017;0
18.03.2017;0
19.03.2017;0
20.03.2017;0,3
21.03.2017;6,3
22.03.2017;0
23.03.2017;0
24.03.2017;0
25.03.2017;0
26.03.2017;0
27.03.2017;0
28.03.2017;0
29.03.2017;0
30.03.2017;0
31.03.2017;7,2
01.04.2017;11,7
02.04.2017;0
